Date,Open,High,Low,Close,VWAP
2016-12-15,227.5,229.16,227.342,228.08,228.38864
2016-12-16,228.67,228.74,227.33,227.73,227.891106
2016-12-19,227.91,228.68,227.76,228.15,228.266198
2016-12-20,228.82,229.24,228.545,229.05,228.890709
2016-12-21,227.67,227.83,227.14,227.18,227.441321
2016-12-22,226.97,227.1,226.293,226.85,226.684064
2016-12-23,226.82,227.08,226.58,227.0,226.830143
2016-12-27,227.39,228.1,227.39,227.64,227.789849
2016-12-28,227.95,227.95,225.64,225.77,226.378013
2016-12-29,225.85,226.25,225.21,225.75,225.728544
2016-12-30,226.13,226.2,224.09,224.99,224.878413
2017-01-03,226.4,227.1999,225.24,226.58,226.109917
2017-01-04,226.96,228.11,226.95,227.95,227.652962
2017-01-05,227.63,227.96,226.85,227.74,227.481359
2017-01-06,227.91,229.13,227.28,228.64,228.394982
2017-01-09,228.27,228.47,227.81,227.9,228.099737
2017-01-10,227.83,228.8203,227.38,227.8,228.152489
2017-01-11,227.76,228.43,226.96,228.41,227.827991
2017-01-12,227.88,228.14,226.32,227.97,227.438315
2017-01-13,228.13,228.79,228.07,228.39,228.403404
2017-01-17,227.71,228.165,227.19,227.64,227.711151
2017-01-18,227.95,228.17,227.29,228.08,227.790652
2017-01-19,228.21,228.4,226.79,227.35,227.510263
2017-01-20,228.08,228.69,227.44,228.1,228.011406
2017-01-23,227.74,228.18,226.66,227.57,227.35045
2017-01-24,227.8,229.47,227.6598,228.96,228.696042
2017-01-25,230.09,230.9617,229.89,230.82,230.610441
2017-01-26,230.79,231.1,230.4,230.75,230.722983
2017-01-27,230.82,230.9617,230.17,230.4,230.377215
2017-01-30,229.55,229.6,227.7979,229.03,228.591664
2017-01-31,228.33,228.97,227.72,228.93,228.463319
2017-02-01,229.69,229.97,228.33,229.05,229.054125
2017-02-02,228.61,229.48,228.22,229.13,228.878999
2017-02-03,230.22,230.93,229.8522,230.79,230.622061
2017-02-06,230.26,230.7221,229.95,230.38,230.301733
2017-02-07,230.8,231.0553,230.111,230.37,230.515972
2017-02-08,230.0,230.79,229.72,230.65,230.337935
2017-02-09,230.96,232.3558,230.93,232.0,231.897083
2017-02-10,232.44,233.19,232.3,232.91,232.827528
2017-02-13,233.55,234.51,233.49,234.2,234.073061
2017-02-14,234.02,235.15,233.59,235.14,234.427939
2017-02-15,234.91,236.5966,234.85,236.34,235.583225
